1,Incredible,Amazing
2,Enrage,Anger
3,Wrathful,Angry
4,Reply,Answer
5,Question,Ask
6,Dreadful,Awful
7,Depraved,Bad
8,Gorgeous,Beautiful
9,Start,Begin
10,Enormous,Big
11,Courageous,Brave
12,Fracture,Break
13,Sparkling,Bright
14,Quiet,Calm
15,Approach,Come
16,Chilly,Cool
17,Bent,Crooked
18,Weep,Cry
19,Slice,Cut
20,Perilous,Dangerous
21,Shadowy,Dark
22,Determine,Decide
23,Certain,Definite
24,Savory,Delicious
25,Portray,Describe
26,Ruin,Destroy
27,Disagreement,Difference
28,Execute,Do
29,Unimaginative,Dull
30,Keen,Eager
31,Stop,End
32,Appreciate,Enjoy
33,Elaborate,Explain
34,Just,Fair
35,Drop,Fall
36,Fake,FALSE
37,Quick,Fast
38,Stout,Fat
39,Fright,Fear
40,Soar,Fly
41,Humorous,Funny
42,Acquire,Get
43,Recede,Go
44,Excellent,Good
45,Noteworthy,Great
46,Improper,Gross
47,Pleased,Happy
48,Despise,Hate
49,Acquire,Have
50,Aid,Help
51,Conceal,Hide
52,Hasten,Hurry
53,Damage,Hurt
54,Thought,Idea
55,Necessary,Important
56,Fascinating,Interesting
57,Hold,Keep
58,Slay,Kill
59,Indolent,Lazy
60,Dinky,Little
61,Scrutinize,Look
62,Like,Love
63,Design,Make
64,Impress,Mark
65,Prankish,Mischievous
66,Plod,Move
67,Trim,Neat
68,Novel,New
69,Aged,Old
70,Portion,Part
71,Space,Place
72,Region,Plan
73,Quandary,Predicament
74,Place,Put
75,Tranquil,Quiet
76,Correct,Right
77,Race,Run
78,Recount,Say/Tell
79,Panicked,Scared
80,Display,Show
81,Unhurried,Slow
82,Cease,Stop
83,Tale,Story
84,Odd,Strange
85,Hold,Take
86,Disclose,Tell
87,Consider,Think
88,Distress,Trouble
89,Accurate,TRUE
90,Horrible,Ugly
